source_display,target_code,target_display
"SEPTRIN FORT 800/160 50 COMPR",J01EE01,"sulfamethoxazole and trimethoprim"
"SEPTRIN NORM 400/80 100 COMPR",J01EE01,"sulfamethoxazole and trimethoprim"
"SEPTRIN PEDI 40/8 MG/ML SUSP 100 ML",J01EE01,"sulfamethoxazole and trimethoprim"
"SILDENAFILO 10 MG/ML SUSPENSION ORAL 50 ML - FM",G04BE03,"sildenafil"
"SINGULAIR 4 MG 28 SOBRES",R03DC03,"montelukast"
"SINOGAN 40 MG/ML GOTAS 30 ML",N05AA02,"levomepromazine"
"SINTROM 4 MG 20 COMPRIMIDOS",B01AA07,"acenocoumarol"
"SINTROM UNO 1 MG 60 COMPRIMIDOS",B01AA07,"acenocoumarol"
"SOTAPOR 80 MG 30 COMPRIMIDOS",C07AA07,"sotalol"
"SUERO SALINO HIPERTONICO 6% UCI",B05CB01,"sodium chloride"
"SUMIAL 10 MG 50 COMPRIMIDOS",C07AA05,"propranolol"
"SUMIAL 40 MG 50 COMPRIMIDOS",C07AA05,"propranolol"
"SYNAGIS 100 MG 1 VIAL",J06BD01,"palivizumab"
"SYNAGIS 50 MG 1 VIAL",J06BD01,"palivizumab"
"TAMIFLU 45 MG 10 CAPSULAS DURAS",J05AH02,"oseltamivir"
"TARDYFERON 256.3 MG 30 GRAGEAS",B03AA07,"ferrous sulfate"
"TARGOCID 200 MG IV 1 VIAL 3.2 ML",J01XA02,"teicoplanin"
"TASEP 1 G IV 100 VIALES",J01DB04,"cefazolin"
"THROMBOCID 0.1% POMADA 100X60 G",C05BA04,"pentosan polysulfate sodium"
"TIAMINA 100 MG/ML SUSP.ORAL",A11DA01,"thiamine (vit B1)"
"TOBRAMICINA SUN 300 MG SOLUCION INHALACION 56 AMPOLLAS 5 ML",J01GB01,"tobramycin"
"TOBREX 0.3% COLIRIO 5 ML",S01AA12,"tobramycin"
"TRAMADOL NORMON 100 MG 100 AMPOLLAS 2 ML",N02AX02,"tramadol"
"TRAMADOL NORMON 50 MG 500 CAPSULAS",N02AX02,"tramadol"
"TRANGOREX 200 MG 30 COMPRIMIDOS",C01BD01,"amiodarone"
"TRANXILIUM 5 MG 30 CAPSULAS",N05BA05,"potassium clorazepate"
"ULCERMIN 1G/ 5ML (SUCRALFATO) SOBRES",A02BX02,"sucralfate"
"URBASON SOLUBLE 20 MG 1 AMPOLLA",H02AB04,"methylprednisolone"
"URBASON SOLUBLE 40 MG 1 AMPOLLA",H02AB04,"methylprednisolone"
